Per Capita Personal Income by County (Dollars),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PCPI25003,"Berkshire County, MA",25003,40264,41267,43649,45210,45638,48359,51239,52766,54396,56651,58299
PCPI35001,"Bernalillo County, NM",35001,35409,35539,36740,37009,36311,38613,40114,41506,42282,43902,45431
PCPI26021,"Berrien County, MI",26021,34259,36122,37467,37779,38275,40036,42553,44049,45376,47461,48237
PCPI13019,"Berrien County, GA",13019,25329,25220,26460,27765,26959,27171,29195,29283,31001,31309,32935
PCPI37015,"Bertie County, NC",37015,27959,27873,27793,30256,30652,32152,32611,33231,35639,35603,37424
PCPI02050,"Bethel CA, AK",02050,32363,34361,36904,37972,37232,39700,40414,41492,42572,45242,46348
PCPI48029,"Bexar County, TX",48029,34137,35456,38023,38384,39075,41770,42512,42449,44170,46531,47830
PCPI13021,"Bibb County, GA",13021,32908,33783,35365,34885,35316,37062,38331,38825,40241,41555,42696
PCPI01007,"Bibb County, AL",01007,23780,25057,25993,27042,27417,28224,29052,28976,29386,30559,31725
PCPI22013,"Bienville Parish, LA",22013,28458,31029,31737,31454,32527,32612,33164,33331,35726,38430,39111
PCPI30003,"Big Horn County, MT",30003,23965,24746,26174,26424,26337,26431,28105,28762,29018,30504,31887
PCPI56003,"Big Horn County, WY",56003,31017,32108,34748,35793,35334,37108,37239,35306,36208,38198,39318
PCPI27011,"Big Stone County, MN",27011,37479,39991,41910,51308,51470,49084,52690,50722,52682,53692,55491
PCPI38007,"Billings County, ND",38007,29746,53008,70858,89817,84357,95147,76754,70187,77821,75712,79550
PCPI16011,"Bingham County, ID",16011,27635,28225,30488,30724,31524,31453,33139,33267,33918,36096,37909
PCPI19013,"Black Hawk County, IA",19013,34320,34918,37120,38847,38439,39880,40673,41009,42447,45355,46326
PCPI18009,"Blackford County, IN",18009,29197,30637,31904,32713,33959,34610,35130,35070,36182,37721,38813
PCPI37017,"Bladen County, NC",37017,28055,29150,29475,30094,31282,32491,32891,32963,34809,34887,36312
PCPI16013,"Blaine County, ID",16013,65137,61850,68229,78388,80835,87472,95565,97929,107631,116962,117097
PCPI30005,"Blaine County, MT",30005,25666,26766,28434,27977,29831,29073,29989,28867,30109,30967,33560
PCPI31009,"Blaine County, NE",31009,33411,33010,52497,36851,62123,83057,90958,77015,55752,57185,60120
PCPI40011,"Blaine County, OK",40011,23867,31142,34237,35789,33133,36907,36036,34240,38052,40623,42256
PCPI42013,"Blair County, PA",42013,33724,34941,36891,37997,38099,39901,42031,42943,44330,46539,48277
PCPI48031,"Blanco County, TX",48031,47659,41004,41284,42775,43696,46063,47345,47531,50806,53189,54814
PCPI51021,"Bland County, VA",51021,27560,27976,30123,30997,31238,31744,33238,33544,35988,36956,38126
PCPI13023,"Bleckley County, GA",13023,28377,29195,29608,30617,31156,31700,32783,32102,33501,34332,35272
PCPI47007,"Bledsoe County, TN",47007,19279,20179,21600,23303,23326,23512,24353,23960,24775,25838,27113
PCPI01009,"Blount County, AL",01009,27367,27701,28400,29647,30320,31547,32628,32902,34317,35671,36412
PCPI47009,"Blount County, TN",47009,30971,31891,33758,35476,35797,36924,38847,39945,41605,44070,45222
PCPI27013,"Blue Earth County, MN",27013,32497,33630,36747,38807,39104,41613,42415,42110,42949,45255,46793
PCPI16015,"Boise County, ID",16015,29737,30822,31855,32999,34481,36187,37521,41883,41821,41898,43320
PCPI28011,"Bolivar County, MS",28011,28354,29732,31554,32568,33870,33316,34265,35915,37513,39061,39179
PCPI29017,"Bollinger County, MO",29017,25703,26018,27291,28737,28704,28857,29575,30832,31239,32269,33632
PCPI46009,"Bon Homme County, SD",46009,30551,32034,38258,36165,29676,28943,32787,34317,35544,38758,40713
PCPI17005,"Bond County, IL",17005,28595,29721,30805,31042,31727,31900,33568,34870,35156,36894,37871
PCPI16017,"Bonner County, ID",16017,29359,29855,31744,33147,33408,34665,36702,38326,39615,41551,42277
PCPI16019,"Bonneville County, ID",16019,33545,34331,35173,37515,37603,39036,42390,44292,46599,48989,50114
PCPI29019,"Boone County, MO",29019,38053,37466,38804,40517,41222,42193,43857,44627,45796,46557,48525
