All-Transactions House Price Index by County (Index 2000=100),,,,,,,,,,,,,
Series ID,Region Name,Region Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATNHPIUS48027A,"Bell County, TX",48027,128.56,127.25,127.77,127.72,128.72,132.55,137.45,143.11,151.79,160.38,167.94
ATNHPIUS39013A,"Belmont County, OH",39013,116.12,114.48,116.35,118.29,128.61,134.65,136.89,135.72,144.65,148.98,151.06
ATNHPIUS27007A,"Beltrami County, MN",27007,148.07,148.85,147.20,149.03,149.80,151.26,155.48,159.00,164.65,174.01,176.87
ATNHPIUS13017A,"Ben Hill County, GA",13017,134.41,130.14,124.34,127.73,128.87,128.13,135.13,137.87,152.52,146.76,149.31
ATNHPIUS16009A,"Benewah County, ID",16009,150.73,138.03,137.72,131.04,143.95,151.11,162.37,164.09,175.79,184.22,198.10
ATNHPIUS50003A,"Bennington County, VT",50003,152.93,149.12,145.19,145.22,142.44,143.37,136.94,140.29,141.52,147.33,153.74
ATNHPIUS41003A,"Benton County, OR",41003,150.57,144.78,143.98,149.43,155.85,163.94,175.39,189.59,202.83,213.32,222.34
ATNHPIUS18007A,"Benton County, IN",18007,102.73,105.52,102.81,108.21,114.67,116.10,118.78,119.68,142.18,138.00,149.66
ATNHPIUS47005A,"Benton County, TN",47005,121.52,115.92,116.47,114.99,129.92,118.55,138.92,128.38,131.92,149.84,152.60
ATNHPIUS19011A,"Benton County, IA",19011,123.04,122.18,122.74,125.05,127.47,130.12,131.31,136.64,141.94,144.12,150.58
ATNHPIUS05007A,"Benton County, AR",05007,119.98,113.63,114.09,117.80,123.69,129.63,137.24,146.97,155.80,162.39,170.10
ATNHPIUS53005A,"Benton County, WA",53005,138.86,137.96,139.25,139.92,142.37,149.33,160.97,176.15,191.89,209.84,222.47
ATNHPIUS27009A,"Benton County, MN",27009,123.25,117.65,115.81,117.05,121.92,124.48,131.08,138.82,147.38,151.38,156.76
ATNHPIUS26019A,"Benzie County, MI",26019,115.34,107.06,105.44,107.81,109.77,115.17,125.41,133.24,141.20,147.23,153.72
ATNHPIUS34003A,"Bergen County, NJ",34003,155.86,150.93,146.98,148.15,153.23,157.07,161.47,166.23,171.81,175.13,180.19
ATNHPIUS54003A,"Berkeley County, WV",54003,126.58,118.07,114.42,119.37,125.20,132.15,133.20,140.50,149.13,153.62,159.72
ATNHPIUS45015A,"Berkeley County, SC",45015,132.11,124.30,122.12,124.85,130.15,138.39,146.20,159.97,170.84,181.58,189.75
ATNHPIUS42011A,"Berks County, PA",42011,141.71,136.02,130.94,131.16,132.32,135.39,136.95,142.45,148.61,153.12,160.13
ATNHPIUS25003A,"Berkshire County, MA",25003,154.42,151.09,147.56,147.06,146.05,147.14,148.63,150.42,159.67,162.36,168.95
ATNHPIUS35001A,"Bernalillo County, NM",35001,141.84,135.20,131.69,133.24,135.91,137.75,142.14,147.56,152.50,158.50,167.25
ATNHPIUS13019A,"Berrien County, GA",13019,129.28,119.29,115.82,119.54,120.60,118.26,136.38,125.22,120.14,130.16,135.25
ATNHPIUS26021A,"Berrien County, MI",26021,118.83,114.84,112.32,112.16,115.98,120.68,125.06,131.43,137.08,143.00,149.14
ATNHPIUS37015A,"Bertie County, NC",37015,140.78,136.62,130.92,128.49,125.57,124.64,132.52,133.62,136.80,137.25,141.92
ATNHPIUS48029A,"Bexar County, TX",48029,142.38,141.80,142.78,146.18,154.64,165.35,177.32,189.23,200.42,210.89,218.95
