State,Region Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ND,38015,41388,44348,48547,52429,53661,57792,57502,56165,56088,58522,60117
TX,48051,32074,34274,35469,38147,39354,40580,41018,39776,41379,44380,45970
NJ,34005,47613,48393,50012,51106,51635,53770,56277,57951,59432,61244,63605
TX,48053,34733,34669,37024,40952,39693,42606,43714,43676,45129,48220,49731
WI,55013,30297,32566,34278,35574,36663,37751,39826,39873,41465,43548,45023
NE,31021,36308,37045,44008,42291,45625,45257,46666,44649,44706,47155,50943
NE,31023,35864,37037,45568,42243,45394,45110,47545,43199,45082,47564,50050
MO,29023,30507,31194,31974,33001,33410,34681,33784,34747,35266,35764,36606
AL,1013,27347,28513,28876,30123,31602,32997,34639,34394,35803,36783,37523
OH,39017,34864,35408,37030,38249,38780,40648,42319,43405,45383,47236,49146
IA,19023,36025,37856,43913,43086,43566,41253,41561,41940,44117,47199,49509
KS,20015,35792,36671,38479,40294,41355,41833,42743,42773,43770,46109,48216
KY,21031,26095,27028,28775,29739,31135,31332,32033,32491,33450,34141,35121
PA,42019,40859,42731,45652,48258,48183,50186,52727,53888,55781,58293,60493
ID,16023,30268,28567,31875,31839,33801,33814,38426,38896,39128,42276,44828
SD,46019,27150,29033,31096,31127,32025,34479,35464,35773,37189,38084,38449
CA,6007,32063,33234,34425,35234,36407,38053,40769,42362,43164,44576,47860
GA,13035,25413,25245,26261,26725,27863,28899,30747,31218,32973,34530,35017
NC,37025,33528,34532,35971,37124,37466,39134,41232,42752,43836,45202,46615
WV,54011,33523,34357,35668,36475,36186,37678,38647,38770,40467,43250,44177
UT,49005,27594,28483,30259,31201,31040,32555,34577,35667,37662,40325,41811
OK,40015,25384,26574,28877,30470,31244,33324,32995,31004,34143,35826,37603
LA,22017,38782,40796,41108,42465,44165,48246,47167,44865,45544,49242,50690
CA,6009,35852,36745,38181,38024,38693,41279,44156,45754,47243,49227,51131
LA,22019,33931,34568,36055,37983,38454,41219,43698,44478,46175,48570,49664
NC,37027,26834,27063,27910,29213,28848,30078,31885,32562,34210,35383,36609
LA,22021,30111,30287,29849,29995,30416,31232,30763,31193,32350,33790,35353
KY,21033,27933,28007,29571,29774,30698,30730,31872,32280,33009,33458,35437
MO,29025,28497,28217,30356,30053,31470,33434,33545,34579,36238,37191,38939
TX,48055,25168,26607,28856,29512,29025,29999,31229,31504,32209,33073,34617
VT,50005,32125,33015,34696,35654,36273,37516,38155,39131,39792,40781,43113
WV,54013,24047,24845,26648,29705,28752,29395,28062,27059,28635,30173,31229
IL,17013,33140,34016,35885,35530,36473,36127,37062,38631,41022,42062,43368
TX,48057,28048,29901,33267,34392,37556,36944,37189,35974,37583,43679,46208
IA,19025,38336,39506,46379,46768,49696,47347,45534,46550,46453,50342,54273
MI,26025,31003,31904,32914,33886,34137,35120,37000,37703,38408,39160,40257
SC,45017,29526,30016,31506,31735,31880,32447,34597,35522,37411,39664,41136
AL,1015,30190,30927,31921,32401,32028,33090,34423,34920,35927,36988,38394
MS,28013,23348,25881,27689,27142,28611,27427,28919,29759,30815,32064,33450
GA,13037,21627,21349,22747,23815,22058,21577,22796,23581,24841,24536,27390
AR,5013,25007,25797,27290,28387,28790,30063,31863,32887,33198,34026,35686
FL,12013,21630,23032,23444,23475,23207,24149,24863,25272,26575,27621,29526
TX,48059,28016,29751,31430,34353,35831,37830,37715,36874,37514,40027,41962
