State,Region Code,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1
NC,37003,34.89263804,35.42274052,36.18705036,35.85454545,35.60939794,35.02575423,33.99705015,34.80176211,35.73508006,35.88064047,36.0724234,36.12456747,35.78802478,35.25730181,33.58885017,32.98826777,32.71221532,30.98688751,31.83701657,31.12947658,31.33105802,31.62217659,30.0405954,30.30508475,29.86486486,29.88582942,30.34389751,30.29073698,29.56228956,28.70619946,27.98381659,29.49061662,28.58103564,28.72483221,28.62903226,29.24528302,28.32331329,27.34478203,27.18894009,27.42782152,26.60550459
IL,17003,44.60431655,42.80442804,43.91143911,45.58823529,43.77358491,43.07692308,40.31007752,40.31007752,39.68253968,40.89068826,38.91050584,40.5511811,40.85603113,40.22988506,39.8467433,37.74319066,39.76833977,37.20930233,37.890625,36.07843137,36.57587549,36.61417323,36.96498054,36.67953668,35.01945525,34.49612403,35.40856031,36.64122137,34.49612403,33.33333333,34.8,33.7398374,36.32653061,34.30962343,33.62068966,34.46808511,34.22222222,32.31441048,33.77192982,34.1991342,34.21052632
VA,51510,26.02605863,26.04575163,25.83141258,25.72040178,24.79325174,24.56111567,24.75736141,24.69115467,24.14977109,23.77599476,23.78378378,23.69979197,22.77006542,22.36005089,22.65413414,23.42541436,23.11439346,22.75797079,22.87016661,22.28294816,22.08829054,21.77985948,21.73374613,21.69263672,21.36335971,20.77432962,20.86212076,20.86362962,20.21087021,19.68934911,19.82292917,19.5925704,19.2021435,19.07216495,18.77354226,19.59874233,18.6724473,17.62949694,17.04903284,17.58175818,16.4956233
OK,40003,25.69832402,24.72527473,24.17582418,21.27659574,20.65217391,21.97802198,21.14285714,22.90502793,22.77777778,21.97802198,20.94240838,21.57894737,21.62162162,21.73913043,20.76502732,21.57894737,21.80851064,22.45989305,20.85561497,21.27659574,21.16402116,19.57671958,19.47368421,19.57671958,19.14893617,19.89247312,21.92513369,20.54054054,20.65217391,22.16216216,20.32085561,20.52631579,20.94240838,21.16402116,21.92513369,24.59893048,22.04301075,21.62162162,22.58064516,21.92513369,17.4863388
MI,26003,22.43767313,23.16076294,23.78378378,23.69146006,23.26869806,24.2506812,24.65753425,26.2295082,25.34435262,24.59016393,23.40425532,24.07407407,24.933687,25.20107239,25.33692722,26.14555256,25.80645161,25.87601078,24.01055409,25.13089005,24.33862434,22.7027027,22.58064516,21.52588556,20.6043956,21.4673913,21.56862745,20.39106145,19.04761905,19.88950276,18.90410959,18.13186813,16.89750693,16.85082873,17.74193548,19.07356948,17.56756757,17.07317073,18.25613079,18.52861035,17.98365123
IA,19005,22.30088496,22.94220665,22.99465241,23.71681416,22.16312057,21.35231317,22.41992883,22.5,21.92513369,21.21212121,21.54115587,21.47887324,20.88495575,20.43399638,20.49910873,20.84805654,20.03577818,20.03577818,20.75812274,20.9009009,17.88908766,18.14946619,18.43971631,16.84397163,16.75579323,16.75485009,18.19787986,17.73049645,16.96428571,16.51705566,16.31205674,17.07746479,16.1971831,15.57522124,16.5480427,16.5480427,16.75579323,17.38351254,16.1634103,16.51865009,15.42553191
MI,26005,26.21015348,25.61262959,26.07773852,26.80047226,26.31329863,26.44276254,25.89538172,26.34801036,25.58303887,24.97663551,25.39432177,25.06181164,24.73142346,24.62389381,24.75749559,25.34201954,24.46992644,23.86485905,24.12017167,24.17183159,23.41015792,22.70992366,22.85654097,23.33053339,22.15216478,22.07329843,22.33908288,22.49789739,21.00610398,20.77020202,20.80550918,20.64449064,20.4621149,20.40942928,20.62512852,20.62129573,19.88196988,17.77089783,17.30018492,17.14520098,16.59128289
MD,24001,26.95560254,27.21809827,27.4822695,27.5115371,27.4748924,26.5976437,26.17521368,27.01067616,26.022567,26.66902155,26.54384169,26.82760966,26.31578947,25.51959114,25.09363296,25.65498469,25.25562372,24.53861928,24.95708891,25.6462585,25.22951377,24.88934287,25.17694641,25.55780933,25.31176272,24.82293423,25.38983051,25.34828406,25.23874488,24.88087134,25.01704158,25.64713896,25.12855674,25.0945342,25.57659208,25.4533014,24.97416466,24.2778542,23.6599522,23.21063395,22.02809181
NY,36003,29.3202765,28.54700855,28.45668388,28.64523536,28.34101382,27.56632065,27.88405797,28.11594203,28.05089647,27.33026467,27.78390298,27.39801544,26.9570011,27.03455964,26.89961176,27.77161863,26.48199446,25.70794003,26.04108828,26.19577308,26.51345291,24.3575419,24.31525992,24.09571508,23.85730212,23.61189007,23.97529478,25.22573363,23.58597285,22.99829642,23.72784448,23.48224513,24.03680276,23.76578645,23.59679267,23.16091954,23.68268674,22.72463768,22.41579559,22.28637413,20.95459837
VA,51005,29.74203338,29.53523238,28.89908257,28.89908257,28.65947612,27.82071097,27.86377709,29.12772586,27.91411043,27.73497689,28.63372093,29.54876274,30.18867925,28.92804699,28.67647059,29.17271408,26.93997072,25.36443149,24.60431655,26.70454545,24.39716312,26.02545969,26.09929078,26.30834512,25.07163324,26.36103152,25.68149211,26.6002845,24.89208633,26.08069164,23.55491329,26.35327635,24.85714286,25.10699001,25,26.14942529,25.39229672,24.2510699,24.5014245,25.35612536,23.36182336
NC,37005,28.3062645,28.18181818,28.53881279,27.53950339,27.8280543,26.92307692,26.86230248,27.76523702,28.25112108,26.7699115,26.36165577,25.21929825,23.67256637,23.4375,25.66964286,26.7699115,26.31578947,28.57142857,26.32743363,27.6169265,28,27.51677852,25.78475336,23.34801762,23.1277533,23.96514161,22.48908297,23.2300885,21.38084633,21.08695652,19.9143469,21.50537634,22.00854701,21.91489362,22.03389831,21.72995781,20.75471698,20.25052192,20.20618557,18.86792453,18.06722689
PA,42003,27.05789976,26.57253847,26.42152366,26.49673644,26.08401084,25.88681238,26.11944523,26.15157704,25.5944319,25.39993593,25.47169811,25.42883212,24.67848009,24.11357818,24.23636727,24.6519291,23.97835451,23.32796059,23.29874168,23.59096486,22.93071735,22.6039261,22.74720535,22.97501077,22.40251009,22.20072031,22.37843646,22.6766928,22.06573612,21.71112825,21.98974469,22.30267531,21.86860528,21.51362984,21.84732332,22.03226325,21.38284938,20.33974072,19.98103858,19.83763679,18.80412371
LA,22003,48.21826281,47.08520179,46.41255605,47.40990991,48.35039818,48.33906071,48.97260274,48.97494305,48.59708193,47.91431793,47.02702703,48.05615551,47.26100967,46.73311185,46.51162791,46.69603524,46.7920354,47.65027322,46.08695652,44.36008677,43.57601713,42.58064516,41.58523344,41.68466523,41.42705005,41.81818182,40.68522484,41.50537634,40.58127018,40.92373792,40.15069968,40.62165059,40.86486486,40.02134472,39.36170213,40.76840982,39.89361702,39.20940171,39.14893617,37.2611465,36.46055437
OH,39003,30.27088036,30.05415162,30.5932971,30.525591,30.56386651,31.16257739,31.60550459,31.49298367,31.26850376,30.8287796,31.25136017,31.08313436,30.50259965,30.35634744,30.72527473,31.13537118,30.40999781,29.37828371,30.09158308,30.15174841,29.09449682,28.44922132,29.31334203,28.95250488,28.67662985,28.38390359,29.02249135,29.44480449,28.53131749,28.03211109,28.05036908,28.32533799,27.11421099,27.48753523,27.89336801,27.84588441,27.23880597,26.41715912,26.15350973,26.17640622,25.48719072
KS,20001,32.35867446,31.96078431,30.47808765,32.07171315,31.51515152,29.06504065,30.1010101,29.42386831,29.33884298,28.48232848,29.41176471,28.29076621,28.15533981,27.02702703,25.390625,26.9379845,26.20423892,25.23900574,25.67049808,25.43021033,23.28244275,23.00380228,23.58490566,23.42857143,20.80152672,22.6487524,22.5433526,21.01167315,20.23575639,20.15655577,21.33072407,21.9123506,21.38613861,19.64285714,22.39685658,22.24409449,22.50489237,20.77669903,20.65637066,21.19460501,20.23121387
KY,21003,37.77490298,36.99870634,36.77419355,36.98453608,36.57587549,37.11340206,36.92307692,36.41025641,36.2244898,35.15923567,35.68773234,37.03703704,36.8226601,36.09394314,35.65323565,35.51980198,35.88162762,35.20782396,34.7985348,35.04901961,35.85365854,35.69682152,35.78313253,34.90909091,33.93939394,32.7294686,33.17073171,34.63414634,32.76699029,33.25213155,34.13751508,34.04761905,33.68920522,32.74021352,32.74021352,33.25499412,33.29397875,31.678487,30.94958968,31.34502924,29.95391705
IN,18003,30.94248852,30.46652552,30.50525701,30.43000513,30.38710627,30.14776152,30.3671072,30.3553151,29.78104314,29.60914186,30.16583864,30.07173201,29.60439408,28.83507944,28.72208437,29.3701004,28.75223552,28.62047655,28.73870173,28.75264271,28.18993119,27.59674134,27.99136652,28.27970713,28.01744381,27.96366794,27.81954887,28.14551789,27.36940673,26.83708203,26.86359111,27.10423171,26.66401221,26.41796979,26.68467163,26.8471776,26.31200575,25.217562,25.07491857,24.69711694,23.6874474
